date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/00 Undi Awal,Bilik Mesyuarat Balai Polis Buloh Kasap,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/00 Undi Awal,Bilik Mesyuarat Balai Polis Buloh Kasap,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/00 Undi Awal,Bilik Mesyuarat Balai Polis Buloh Kasap,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,1,10.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/00 Undi Awal,Bilik Mesyuarat Balai Polis Buloh Kasap,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,9,90.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,2,1.0050251256281406
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,33,16.582914572864322
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,164,82.41206030150754
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,3,1.639344262295082
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.546448087431694
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,60,32.78688524590164
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/01 Mensudot Lama,SK Mensudut Lama,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,119,65.02732240437157
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,13,4.075235109717868
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,4,1.2539184952978055
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,69,21.630094043887148
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,233,73.04075235109718
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,3,0.7853403141361256
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,2,0.5235602094240838
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,128,33.50785340314136
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/02 Balai Badang,SK Balai Badang,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,249,65.18324607329843
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,7,2.341137123745819
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.33444816053511706
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,39,13.043478260869565
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,1,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,252,84.2809364548495
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,8,2.185792349726776
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,1,0.273224043715847
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,48,13.114754098360656
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,309,84.42622950819673
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,4,1.1049723756906076
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,38,10.497237569060774
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/03 Palong Timor,SK LKTP Palong Timur,3,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,320,88.39779005524862
