date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/00 Undi Awal,Khemah A IPD Jelebu,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,20,68.96551724137932
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/00 Undi Awal,Khemah A IPD Jelebu,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,9,31.03448275862069
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/01 Kampong Sungai Buloh,SK Sungai Buloh,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,165,50.76923076923077
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/01 Kampong Sungai Buloh,SK Sungai Buloh,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,160,49.23076923076923
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/01 Kampong Sungai Buloh,SK Sungai Buloh,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,229,65.99423631123919
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/01 Kampong Sungai Buloh,SK Sungai Buloh,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,118,34.00576368876081
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/02 Durian Tipus,SK Durian Tipus,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,73,27.547169811320753
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/02 Durian Tipus,SK Durian Tipus,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,192,72.45283018867924
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/02 Durian Tipus,SK Durian Tipus,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,76,35.348837209302324
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/02 Durian Tipus,SK Durian Tipus,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,139,64.65116279069767
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,98,34.751773049645394
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,184,65.24822695035462
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,131,38.08139534883721
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,213,61.91860465116279
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,162,49.24012158054711
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,167,50.75987841945289
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,4,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,142,48.96551724137931
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/03 Simpang Durian,SMK Teriang Hilir,4,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,148,51.03448275862069
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,112,36.24595469255664
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,197,63.75404530744336
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,209,51.73267326732673
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,195,48.26732673267327
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,202,47.529411764705884
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/04 Kampong Chennah,SK Datuk Undang Abdullah,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,223,52.470588235294116
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,33,12.132352941176471
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,239,87.86764705882352
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,29,8.814589665653495
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,300,91.1854103343465
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,36,10.876132930513595
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,295,89.12386706948641
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,4,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,58,12.946428571428573
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,4,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,390,87.05357142857143
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,5,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,98,21.68141592920354
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,5,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,354,78.31858407079646
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,6,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,117,27.52941176470588
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,6,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,308,72.47058823529412
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,7,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,96,23.414634146341466
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/05 Pekan Titi,SJK (C) Chun Yin,7,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,314,76.58536585365854
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,106,33.021806853582554
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,215,66.97819314641744
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,2,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,136,40.23668639053255
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,2,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,202,59.76331360946746
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,3,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,228,68.8821752265861
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/06 Sungai Muntoh,SJK (C) Kg. Baru Sungai Muntoh,3,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,103,31.1178247734139
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,1,1,K5KRZ,Rosmadi Bin Arif,Rosmadi bin Arif,M,Malay,52,PN,107-BERSATU,BERSATU,011-PN,PN,52,69.33333333333334
2023-08-12,SE-15,Negeri Sembilan,N.01 Chennah,126/01/07 Kampong Seperi,SK Sepri Tengah,1,2,VVDYK,Loke Siew Fook,Loke Siew Fook (Anthony Loke),M,Chinese,46,PH,021-DAP,DAP,007-PH,PH,23,30.666666666666664
